IDX	,	ID	,	FORM_NAME	,	TEXT_KOREA	,	TEXT_CHINA	,	TEXT_ENGLISH	,	TEXT_VIETNAM
71	,	BtnDescriptionLoaderUsePortMcr_ON	,	CDialogEQPFunctionList	,	Host Command or Information Send/Wait 사용	,	Use Host Command or Information Send/Wait	,	Use Host Command or Information Send/Wait	,	Use Host Command or Information Send/Wait
72	,	BtnDescriptionLoaderUsePortMcr_OFF	,	CDialogEQPFunctionList	,	Host Command or Information Send/Wait 미사용	,	Unuse Host Command or Information Send/Wait	,	Unuse Host Command or Information Send/Wait	,	Unuse Host Command or Information Send/Wait
73	,	BtnDescriptionLoaderUsePortMcr_Nothing	,	CDialogEQPFunctionList	,	기능 없음 또는 H/W 없음	,	No Function or H/W	,	No Function or H/W	,	No Function or H/W
74	,	BtnDescriptionUnLoaderUsePortMcr_ON	,	CDialogEQPFunctionList	,	Host Command or Information Send/Wait 사용	,	Use Host Command or Information Send/Wait	,	Use Host Command or Information Send/Wait	,	Use Host Command or Information Send/Wait
75	,	BtnDescriptionUnLoaderUsePortMcr_OFF	,	CDialogEQPFunctionList	,	Host Command or Information Send/Wait 미사용	,	Unuse Host Command or Information Send/Wait	,	Unuse Host Command or Information Send/Wait	,	Unuse Host Command or Information Send/Wait
76	,	BtnDescriptionUnLoaderUsePortMcr_Nothing	,	CDialogEQPFunctionList	,	기능 없음 또는 H/W 없음	,	No Function or H/W	,	No Function or H/W	,	No Function or H/W
77	,	BtnDescriptionAPCMode_Auto	,	CDialogEQPFunctionList	,	System에 의한 Parameter Setting	,	Parameter Setting By System	,	Parameter Setting By System	,	Parameter Setting By System
78	,	BtnDescriptionAPCMode_Manu	,	CDialogEQPFunctionList	,	Engineer에 의한 Parameter Setting	,	Parameter Setting By Engineer	,	Parameter Setting By Engineer	,	Parameter Setting By Engineer
79	,	BtnDescriptionAPCMode_Nothing	,	CDialogEQPFunctionList	,	기능 없음 또는 H/W 없음	,	No Function or H/W	,	No Function or H/W	,	No Function or H/W
80	,	BtnMultiPassModeDescription	,	CDialogEQPFunctionList	,	1) PASS(G) / PASS2(T) 구분 기능으로 EFST % 비율로\n    동작한다.\n2) 0~100 까지 10단위로 EFST 가능. 그 외 입력 불가\n3) 양품 대상으로 Cell 10매 단워로 비율을 계산한다.\n4) 양품 외 Cell은 비율 계산에서 제외한다.\n    JUDGE == L || O || R	,	1) PASS(G) / PASS2(T) 구분 기능으로 EFST % 비율로\n    동작한다.\n2) 0~100 까지 10단위로 EFST 가능. 그 외 입력 불가\n3) 양품 대상으로 Cell 10매 단워로 비율을 계산한다.\n4) 양품 외 Cell은 비율 계산에서 제외한다.\n    JUDGE == L || O || R	,	1) PASS(G) / PASS2(T) 구분 기능으로 EFST % 비율로\n    동작한다.\n2) 0~100 까지 10단위로 EFST 가능. 그 외 입력 불가\n3) 양품 대상으로 Cell 10매 단워로 비율을 계산한다.\n4) 양품 외 Cell은 비율 계산에서 제외한다.\n    JUDGE == L || O || R	,	1) PASS(G) / PASS2(T) 구분 기능으로 EFST % 비율로\n    동작한다.\n2) 0~100 까지 10단위로 EFST 가능. 그 외 입력 불가\n3) 양품 대상으로 Cell 10매 단워로 비율을 계산한다.\n4) 양품 외 Cell은 비율 계산에서 제외한다.\n    JUDGE == L || O || R
81	,	BtnConfirm	,	CDialogEQPFunctionList	,	확인	,	CONFIRM	,	CONFIRM	,	Kiểm tra
82	,	BtnExit	,	CDialogEQPFunctionList	,	종료	,	EXIT	,	EXIT	,	Thoát
83	,	BtnConfirm	,	CDialogInterlockMessage	,	확인	,	CONFIRM	,	CONFIRM	,	CONFIRM
84	,	BtnBuzzerOff	,	CDialogInterlockMessage	,	버저 끔	,	Buzzer Off	,	Buzzer Off	,	Buzzer Off
85	,	BtnTitleLogin	,	CDialogLogin	,	로그인	,	LOGIN	,	LOGIN	,	LOGIN
86	,	BtnTitleID	,	CDialogLogin	,	아이디	,	ID	,	ID	,	ID
87	,	BtnTitlePassword	,	CDialogLogin	,	암호	,	PASSWORD	,	PASSWORD	,	PASSWORD
88	,	BtnLogin	,	CDialogLogin	,	로그인	,	LOGIN	,	LOGIN	,	LOGIN
89	,	BtnLogout	,	CDialogLogin	,	로그아웃	,	LOGOUT	,	LOGOUT	,	LOGOUT
90	,	BtnCancel	,	CDialogLogin	,	취소	,	CANCEL	,	CANCEL	,	CANCEL
91	,	BtnBuzzerOff	,	CDialogLogin	,	버저 끔	,	BUZZER OFF	,	BUZZER OFF	,	BUZZER OFF
92	,	BtnTitleUserCheck	,	CDialogLogin	,	사용자 확인	,	USER CHECK	,	USER CHECK	,	USER CHECK
93	,	BtnCheck	,	CDialogLogin	,	확인	,	CHECK	,	CHECK	,	CHECK
94	,	lblSubTitleSelectUserLevel	,	CDialogLogin	,	사용자 권한 선택	,	USER LEVEL SELECT	,	USER LEVEL SELECT	,	USER LEVEL SELECT
95	,	btnSelectOperator	,	CDialogLogin	,	오퍼레이터	,	OPERATOR	,	OPERATOR	,	OPERATOR
96	,	btnSelectEngineer	,	CDialogLogin	,	엔지니어	,	ENGINEER	,	ENGINEER	,	ENGINEER
97	,	btnSelectMaster	,	CDialogLogin	,	관리자	,	ADMIN	,	ADMIN	,	ADMIN
98	,	LblTitlePasswordModeSelect	,	CDialogLogin	,	비밀번호 모드 선택	,	PASSWORD MODE SELECT	,	PASSWORD MODE SELECT	,	PASSWORD MODE SELECT
99	,	BtnTitleConfirm	,	CDialogPassword	,	확인	,	CONFIRM	,	CONFIRM	,	CONFIRM
100	,	BtnTitlePassword	,	CDialogPassword	,	암호	,	PASSWORD	,	PASSWORD	,	PASSWORD
101	,	BtnOk	,	CDialogPassword	,	확인	,	OK	,	OK	,	OK
102	,	BtnCancel	,	CDialogPassword	,	취소	,	CANCEL	,	CANCEL	,	CANCEL
103	,	BtnTitleEqpState	,	CDialogLossCode	,	EQP STATE	,	EQP STATE	,	EQP STATE	,	EQP STATE
104	,	BtnTitleTPIndex	,	CDialogLossCode	,	TP INDEX	,	TP INDEX	,	TP INDEX	,	TP INDEX
105	,	BtnTitleDescription	,	CDialogLossCode	,	DESCRIPTION	,	DESCRIPTION	,	DESCRIPTION	,	DESCRIPTION
106	,	BtnTitleCode	,	CDialogLossCode	,	CODE	,	CODE	,	CODE	,	CODE
107	,	BtnTPIndexBM	,	CDialogLossCode	,	BM	,	BM	,	BM	,	BM
108	,	BtnTPIndexPM	,	CDialogLossCode	,	PM	,	PM	,	PM	,	PM
109	,	BtnTPIndexCM	,	CDialogLossCode	,	CM	,	CM	,	CM	,	CM
110	,	BtnTPIndexModelChange	,	CDialogLossCode	,	기종변경	,	CHANGE_MODEL	,	CHANGE_MODEL	,	Thay đổi loại mẫu ( CHANGE_MODEL )
111	,	BtnTPIndexMaterial	,	CDialogLossCode	,	자재	,	MATERIAL	,	MATERIAL	,	NVL ( MATERIAL )
112	,	BtnDescriptionBreakDownManual	,	CDialogLossCode	,	고장_수동	,	BREAKDOWN_MANUAL	,	BREAKDOWN_MANUAL	,	Lỗi bằng tay ( BREAKDOWN_MANUAL )
113	,	BtnDescriptionRegularPM	,	CDialogLossCode	,	정기_PM	,	REGULAR_PM	,	REGULAR_PM	,	Định kỳ_PM ( REGULAR_PM )
114	,	BtnDescriptionIrregularPM	,	CDialogLossCode	,	비정기_PM	,	IRREGULAR_PM	,	IRREGULAR_PM	,	Không định kỳ_PM ( IRREGULAR_PM )
115	,	BtnDescriptionIrregularPMCheckEquipment	,	CDialogLossCode	,	설비점검	,	CHECK_EQUIPMENT	,	CHECK_EQUIPMENT	,	Kiểm tra thiết bị ( CHECK_EQUIPMENT )
116	,	BtnDescriptionIrregularPMCheckQuality	,	CDialogLossCode	,	품질점검	,	CHECK_QUALITY	,	CHECK_QUALITY	,	Kiểm tra chất lượng ( CHECK_QUALITY )
117	,	BtnDescriptionImmproveEquipmentEE	,	CDialogLossCode	,	설비_개량_보전_EE	,	IMPROVE_EQUIPMENT_EE	,	IMPROVE_EQUIPMENT_EE	,	Thiết bị_Cải thiện_Bảo tu_EE ( IMPROVE_EQUIPMENT_EE )
118	,	BtnDescriptionImproveProcessingEI	,	CDialogLossCode	,	공정_개량_보전_EI	,	IMPROVE_PROCESSING_EI	,	IMPROVE_PROCESSING_EI	,	Công đoạn_Cải thiện_Bảo tu_EI ( IMPROVE_PROCESSING_EI )
119	,	BtnDescriptionSetupNewProduct	,	CDialogLossCode	,	신규제품_SET_UP	,	SETUP_NEW_PRODUCT	,	SETUP_NEW_PRODUCT	,	SET_UP sản phẩm mới ( SETUP_NEW_PRODUCT )
